title,year
Avatar: The Last Airbender,2005
Brand New Cherry Flavor,2021
The Confession Killer,2019
Lupin,2021
Undercover,2019
Halston,2021
Unsolved Mysteries,2020
Clickbait,2021
Pokémon,1997
Virgin River,2019
Hi Score Girl,2018
Riverdale,2017
Top Gear,2002
Good Girls,2018
The Bonfire of Destiny,2019
Age of Samurai: Battle for Japan,2021
Money Heist,2017
Winning Time: The Rise of the Lakers Dynasty,2022
The Circle,2020
A Suitable Boy,2020
Black Summer,2019
Johnny Test,2005
Star Trek: Discovery,2017
The Lord of the Rings: The Fellowship of the Ring,2001
Blonde,2022
Ófærð,2015
The Last Kingdom,2015
Vikings,2013
Never Have I Ever,2020
Lucifer,2016
No Limit,2022
The Sandman,2022
Me Time,2022
Friends,1994
Outlander,2014
End of the Road,2022
Gilmore Girls,2000
NCIS,2003
The Witcher,2019
Modern Family,2009
Love in the Villa,2022
Do Revenge,2022
I Came By,2022
Squid Game,2021
Glass Onion: A Knives Out Mystery,2022
Echoes,2022
The Gray Man,2022
Black Mirror,2011
Stranger Things,2016
The Blacklist,2013
American Horror Story,2011
Breaking Bad,2008
The Imperfects,2022
The Walking Dead,2010
The Crown,2016
Supernatural,2005
Devil in Ohio,2022
